Question,Answer
If you already have subscribers to your Substack but want to add more:,"1. Head over to Subscribers and scroll down to Email list.

2. Select ""+Add Subscriber(s)"" and click on ""Upload a CSV"" to import more emails in one step."
How do I delete an imported list?,"To delete an imported list, contact our Support Team and we'll take care of that as soon as we can."
"How do I import my posts from another platform, such as Mailchimp, WordPress, TinyLetter, Revue, or Medium?","You can import your archives from Mailchimp, Wordpress, TinyLetter, Revue, Medium, or any website with an RSS feed.

Note: When importing from Mailchimp, please be sure to upload the zip file. Don't unzip it first.

1. Log into your account and navigate to your Dashboard then Settings page.

2. Under ""Set up the basics"", scroll down to ""Import posts"". Click ""Import"".

3. Paste the URL of the website you'd like to import, such as https://tinyletter.com/your or https://medium.com/@your. If you're importing your posts from Mailchimp, use your email campaign archive as the URL.

Tip: If you're importing content from Seeking Alpha, use the following URL: http://seekingalpha.com/author/<author_id>. Replace ""author_id"" with your Seeking Alpha author name. For example: http://seekingalpha.com/author/hamish-best

4. Export your posts from your previous platform and upload the file.

5. A preview of the imported posts will appear. Click ""Import"".

6. Confirm that you own the rights to the content you're uploading."
"How do import my posts manually?","If you're running into issues with exporting a file or importing it to your Substack publication, you can copy-and-paste each post into the Substack editor.

Once each post has been published, you can go into that post’s settings and change the publication date so that it matches the date of original publication."
"Can I change the price of my subscription after launch?","Yes, you can change the price at any time. Only new paid subscribers will pay the new rate once the price change has taken effect. Your existing subscribers will remain on the plan they originally paid for. If you'd like to request a change in price for your existing subscribers, please contact our Support team here.

Note: Subscriptions renew at the original rate the subscriber pays as long as they don't cancel and resubscribe. "
"How do I manually add a new subscriber to my mailing list?","If you'd like to add a new subscriber to your mailing list, you can do that by manually entering their email address or importing a list of email addresses.

1. Log into your Substack account and click on Dashboard.

2. Go to the Subscribers tab and scroll down to the ""Add Subscriber(s)"" button.

3. Enter an email address:

4. From the drop-dox box, select whether the new reader is on a free subscription or a trial. 

5. Check the box next to ""Send a welcome email"" if you'd like to your new reader to receive a customized welcome message.  

Tip: Editing the free subscriber welcome message will change the welcome email that all new free readers receive when they subscribe to your publication.

6. Select ""Add"" and you'll see a confirmation message from us."
"Is there a limit to the mailing list size I can import?","As long as your list is legitimate, and everyone who is on it has explicitly opted in to receive emails from you, there is no limit to the mailing list size that you import.

What if I have a large list?

If you try to import a really big list, you will be asked to undergo a quick verification review with the Substack team.

Tip: For faster uploading times for importing extra large lists, try dividing them into multiple .csv files and importing them onto your account."
"How do readers subscribe to my Substack?","From your Substack publication:

Readers can directly subscribe to your newsletter on their first visit to your publication. They'll be prompted to subscribe or have the option to read it first.

Tip: To add a cover photo and edit the description about your publication, head to your Settings page and scroll to ""Basics"".

From a post or email:

You can also encourage readers to subscribe by adding a Subscribe now button in your posts. 

When creating a new post, select ""Buttons"" and select ""Subscribe now"" or ""Subscribe with caption from the drop-down menu."
What will readers see when they enter their email and subscribe?,"If you have payments enabled, when readers enter their email address and click ""Subscribe"", they'll be presented with your publication's subscription plans.

On Substack, there are four types of plans:

Free: Free subscribers will receive free posts via email and the Substack app.
Monthly: Subscribers will automatically be charged each month and can access paid posts.
Annual: Subscribers will make a one-time payment and this rate will automatically renew. Readers or listeners can access paid posts like monthly subscribers. 
Founding Member: Subscribers can access founding member only posts. Learn more here on how to set up a Founding Member plan.

Tip: To customize each plan's benefits, follow the steps here."
"How do I switch my publication's homepage to a different layout?","When logged into your Substack account, head to your Settings tab and scroll down to the Style section.

Click on ""Edit theme"" and choose from three layouts:

Default
Magazine
Feed of posts

Tip: The different layouts will be easier to view when you're previewing your home page. To change the Preview mode, click on the drop-down menu at the top labeled ""Preview""."
How does the magazine layout work?,"Pin up to 4 posts– To pin a post, click on the three dot menu on a post and select ""Pin on home page"". These will appear ""above the fold"" and will populate the center spot, the top left, the bottom left, and then the bottom spot.
Any un-pinned spots and the rest of your posts are filled reverse chronologically.
The Most popular section is auto-populated and you can exclude posts from this section by clicking “Exclude from Top” in the three dot menu."
"How do I pin a post to the top of my publication's homepage?","Navigate to the post you'd like to pin to the top of your homepage and click the three dots under the title.

Select ""Pin on home page"" and this post will now be what readers see when they view your publication's homepage."
"Can my publication have multiple authors or contributors?","Yes, you can add multiple contributors to your publication.

Navigate to your Dashboard and select Settings.
Scroll down to the Team section.
Click ""+ Invite"" and type the email address of the person you'd like to invite. Click ""Invite"".

If someone is listed as public, they'll appear on your People page as an author.
If you give someone Admin privileges, they will have full access to your Settings.
If you give someone contributor privileges, they can see your Posts tab, but not your Settings or Stats tab. 
If you give someone byline privileges, they can be listed as an author but cannot access Posts or Settings.

Tip: To remove someone from your team, select the three dots and click ""Remove"". To change the role of a team member, click on the role and select either Byline, Contributor, or Admin.

Prefer to have a one-time or occasional guest writer on your publication? Try adding the collaborator directly to the byline on a draft post and they'll appear as a guest writer. They will only be able to view the draft and not make any edits."
"How do I see a list of contributors to my publication?","If you have the new homepage design enabled and multiple public contributors, you can see your publication's People page at https://your.substack.com/about?sort=people (replace your with the name of your publication) or by following the steps below:

Navigate to your publication's About page (https://your.substack.com/about).
Click on People."
"How do I export my posts?","Anything you publish on Substack is yours to own.

To download your posts, email list, and email statistics, head to your Settings page and click on ""Create new export"".

Tip: Any previously requested exports will appear in this section."
"Can I tag a writer or Substack publication in a post?","With the Mentions feature, you can tag a writer or Substack publication in your post. When a reader hovers over a mention, the writer's profile card or a publication card will appear. "
How do I insert a mention in a post?,"On a draft post, enter ""@"" and start typing out the writer's name or publication name. Click on one of the choices presented.

Note: If a writer's name doesn't appear when you @- mention them in a post, it's possible that either you've spelled their name incorrectly or they've opted-out of having their Substack profile appear in a post.

If you’re mentioned by another writer, you'll see a notification in the Activity bell on the top right corner next to your Profile icon."
How to I disable being mentioned in a post?,"To opt-out of being mentioned in another writer's post, head to your account Settings page.

Scroll to the Privacy section and click the toggle off next to ""Mentions""."
"How can I share another publication's post with my subscribers?","If you're reading a post or listening to a podcast episode on Substack and would like to share it with your subscribers, you can share the entire post with the cross-posting feature instead of embedding a post link and publishing a new post.

There's two ways to cross-post a post:

Directly from a web post
Directly from an email newsletter
Note: You can only use this feature for free posts.

From a web post

1. When signed into your Substack account,  click on the three dots of the free post you'd like to share and select ""Cross-post"".

Tip: You can also click on the Cross-post button found at the bottom of a post.

2.In the pop-up, type a blurb for your subscribers about why you're sharing that post and select ""Continue"".

3. Select which publication you'd like to send the post from and your audience. You can send a post to your founding members, paid subscribers, or everyone.

Note: At this time, cross-posting will send the post as an email to your subscribers and will not appear as a web post or in the Substack app. You must be an Admin of a publication in order to cross-post.

4. Your subscribers will receive an email from your publication with your blurb and the entire post.

From an email newsletter

If the publication has cross-posting enabled and you have a publication yourself, you'll see a cross-post button in an email newsletter. 

Click on the cross-post button and in a new tab on your mobile browser, you'll be able to write a blurb and send the post as an email to your paid subscribers or all subscribers."
Are there stats for posts I share?,"On your Posts page, posts that you've shared with your subscribers will be titled ""CROSS-POST"".

Hover over the post and click on the down arrow to expand the tile. We'll display the total views, recipients, and the open rate."
I don't want other publications to share my free posts– can I opt out?,"Head to your publication's Settings page and scroll to the Publication Details section. Un-check the box next to ""Enable cross-posting"" to opt out of being cross-posted.
"
Will I be notified when publications cross-post my post?,"On your publication's Settings page, scroll to your Notifications section. If you'd like to receive an email notification when another publication cross-posts your post, check the box. To opt out of receiving notifications, uncheck the box."
"How can readers flip to a new post?","Readers can go forward and back between posts by tapping on ""Previous"" and ""Next"" buttons found at the bottom of your posts.

On your publication's Settings page, scroll to the Publication Details section. Click the toggle next to ""Enable previous & next post links"".

Once enabled, a reader will see these buttons and like with a book, move forward or back. This can help readers navigate your publication."
"How do I paywall my archive of free posts on Substack?","Add a paywall to all of your old posts in just a few steps.

Navigate to your publication's Settings page and scroll to your Payments section.

Where it says ""Paywall your archives"", enter a number and time period when you'd like your posts to no longer be available to free subscribers. Then click on ""Paywall posts"".

Your archive of free posts will automatically be locked and free subscribers or new readers will see a paywall.

To remove the paywalls, head back to the ""Paywall your archives"" section and uncheck the box next to the time period picker and select ""Remove paywalls"".

Note: Posts that were individually paywalled before the use of this setting i.e. you inserted a paywall yourself will remain paywalled.

To exclude a post from the paywalled archive and make it available to free subscribers and new readers, follow these steps:

1. On a paywalled post, click on the three dots next to a post and select ""Edit Post"".

2. In the post editor page, select Settings at the bottom.

3. Click on ""Remove paywall"" and the post audience will automatically change to ""Everyone""."
"Can I add a cashtag to a Substack post?","Yes! With the cashtag feature, readers can see realtime changes in US stock prices in your posts. Other markets are not supported.

In a draft post, type a cashtag, followed by a space, to generate a ticker with daily price change.

When readers click on a cashtag in a post, a new tab will open and they'll be able to discover other posts that mention the same stock.

This also means that if your post contains a cashtag, the post will appear in the Discover search results if a reader is searching for that same stock.

Note: At this time, the current price of a stock cannot be embedded using the cashtag feature."
"How do I change a post from paid to free?","If you've published a post for paid subscribers and would like to open it to free readers, you can unlock the post by following these steps.

1. When logged into your Substack account, head to your Posts tab.

2. Click the three dots on your post and select ""Edit post"".

3. On the post editor page, select Settings.

4. Change your audience under ""This post is for..."" from ""Paid subscribers only"" to ""Everyone"" and select Save.

5. Your post will now be unlocked so that free readers and paid subscribers can view your post."
Interested in scheduling a paid post to unlock automatically and be sent as a newsletter to free subscribers?,"Before you publish a post, check the box next to ""Schedule time to unlock post and email free subscribers"" on your Publish settings page. Select a date and time and your post will unlock for free readers on the web and be sent as an email to your free subscribers at the scheduled time."
"How do I add a poll to a Substack post?","Follow these steps to add a poll to your post:

1. From the post editor toolbar, click on ""More"" and select ""Poll"" from the drop-down menu.

2. Once the poll template appears in the draft post, click on the pencil icon in the top right corner to enter the requested details."
"Who can vote on a poll?","By default, only your subscribers can vote- this includes both paid and free subscribers. 
If you'd like to restrict a poll to only paying readers, select from the drop-down menu, ""Only paid subscribers"".
As a publication author, contributor, or admin, you can also vote on a poll by selecting, ""Show options"". This link is only visible to you.

3. Your subscribers will be able to vote and see the results of the poll immediately. Results are also visible after a poll closes. Poll results are always visible to you, contributors, and admins by clicking on ""Show results"" on the poll.

Note: If a non-subscriber tries to vote on a poll, they'll be prompted to enter their email address and subscribe to your publication.

At this time, there can only be one vote for one option on a poll and votes cannot be changed. If you'd like to edit a poll after a post has been published, click on the pencil icon on the poll in your draft post. Editing a poll will remove all the existing votes."
"How do I add a voiceover to my Substack post?","With Voiceover, your subscribers can now read and listen to you read out loud the post in one spot.

How do I get started?

1. When signed in to your Substack account, click on ""New post"" under your Create dashboard.

2. In the editor toolbar, select the headphones icon and then select Voiceover.

3. A new dashboard will appear on the right and you can either upload an audio file or narrate your post by using our recording feature directly on your device. To record audio, check your browser settings to ensure that Substack has access to your microphone.

4. Once you've finished uploading an audio file or recording, select ""Done"" and the voiceover will appear at the top of your post.

Tips for voiceover:

The position of the voiceover cannot be moved from the top at this time.
Each post can have one voiceover.
Paywalling just a voiceover isn't possible (unless the entire post is for paid subscribers only). 
Your readers will be able to listen to the audio post on the web post or on the Substack app.

On the web:

If you send the post as a newsletter, a voiceover player will appear in the email and subscribers can click the player and listen to the post in a new internet browser.

On the Substack app:

When the post appears in a subscriber's Inbox, they'll be able to tap on the voiceover and directly play it in the app. Just like with podcast episodes or text-to-speech, the voiceover will play in the background as long as the subscriber doesn't fully exit/fully close the app i.e. they remove the Substack app from their device's menu of open apps.

Note: If text-to-speech is available on your publication, a voiceover in the post will override the TTS."
"How do I embed an audio file in my Substack post?","With our audio embed tool, you can directly embed an audio file anywhere into a post. 

1. Sign in to your Substack account and select ""New post"" under your Create dashboard.

2. From the post editor toolbar, select the headphones icon and click on ""Audio embed"".

3. You can either upload an audio file or record audio directly into the post. To use our recording feature, check your browser settings to ensure that Substack has access to your microphone.

4. Select ""Insert"" and move the audio file wherever you'd like in the post: at the top, in-between text, or as a closing line. To move the file, click and drag the file.

Note: You do not need to create a podcast and publish a podcast episode to include audio in a post– simply start drafting a regular text post."
Can I embed more than one audio file in a single post?,"Yes! You can insert as many audio files as you'd like and the location is up to you. Just like other media files that can be embedded in a post, you can also place an audio embed below a paywall. 

Your subscribers or new readers will be able to listen to the audio embeds on a web post or in the Substack app as they read through the text. They can play and pause the audio files anytime.

Note: Audio embeds will appear in an email newsletter but will play in a new web browser."
"How do I add anchor links in my Substack post?","If you'd like to share certain parts of a post or allow readers to jump to a specific section of a long post, try adding anchor links.

When on a draft post, click on ""Style"" in the toolbar and select either Heading 1, Heading 2, or Heading 3.

Note: Anchor links will not be visible within the post editor and are only visible when a post is published and viewed on desktop.

After publishing your post, hover over the H1, H2, or H3 header and click on the link icon that appears. This anchor link will automatically be copied to your clipboard."
"Can I use shortcuts in the Substack editor?","The Substack editor supports the following shortcuts:

Type * or - followed by space to create a bulleted list.

Type 1., a., or i. followed by space to create a numbered list.

Type # followed byspace to create an H1 heading.

Type ## followed by spaceto create an H2 sub-heading.

Type ### followed by space to create an H3 sub-heading.

Type > followed by space to create a quote block.

Press enter to insert a new paragraph.

Press shift+ enterto create a line break within a paragraph.

Press tabto indent a bullet or numbered list item. Press shift+tabto de-indent a bullet or numbered list item.

Type ---(three hyphens in a row) to create a divider.

With text selected, press cmd/ctrl+B to bold text.

With text selected, press cmd/ctrl +I to italicize text.

With text selected, press cmd/ctrl + shift+ xfor strikethrough.

With text selected, press press cmd/ctrl + K to add a link. You can also paste a URL over selected text to turn it into a link using press cmd/ctrl + V."
"How do I add free images or pictures to my Substack post?","Using the post editor, you can search for free images from Unsplash and add them directly into your post.

1. Click on the image icon in the editor toolbar and select ""Search for an image"".

2. Use the search bar to find an image. Click on an image you'd like to use and select ""Insert"". This will automatically add what you selected into your post.

3. To delete the image, select the three dots in the top right corner. To re-size the image, click on the arrow in the bottom right corner."
"Can I see how a post will look like to readers before publishing?","Before you're ready to publish a post, you can see how it'll appear to free and paid subscribers using the Preview tool.

With the Preview tool, you can see how a post will appear in these formats:

Mobile view
Desktop view
In an email
On the web

1. Click Preview on the top right corner of the page and the Preview Post page will appear. 

Note: If this post is intended for paid subscribers, select the ""paid subscribers only"" audience in your Post Settings before previewing the post.

2. Select from the drop-down menus at the top how you'd like to view your post.

3. If you'd like to grab a secret draft link which you can share before publishing or send a test email, click on ""Test"".

4.  Click ""Done"" to exit the Preview Post page."
"Can I add a free trial offer to a paywall on my post?","In addition to directly giving free readers a free trial to your publication, you can now add a free trial to a paywall on your Substack post.

Readers will be able to read a free preview of your post and see a 7-day free trial offer to your publication once they reach the paywall.

To enable a free trial offer on your paywalls, head to your Settings and check the box next to ""Add a free trial offer to your paywalled posts""."
What steps does a reader need to do to get the free trial? Do they need to enter their payment information?,"In order to redeem the free trial, free readers will need to select a subscription plan and enter their card payment details.

Tip: Once a free trial begins, you may receive a ""New Paid Subscription"" confirmation email with a coupon the new subscriber used. This coupon is the free trial."
How do readers cancel a free trial?,"To cancel a free trial and avoid being automatically charged on the subscription plan they've selected, readers will need to go to their Substack account and cancel their plan."
What can readers on a free trial access?,"Free readers will be like paid subscribers and can access your paid posts and archives. 

Note: At this time, free readers who accept the free trial will be counted as paying subscribers but will not be counted towards your GAR until their trial ends and they start paying."
Where can I see how many readers are on a free trial?,"Head to your Subscribers dashboard and click on ""Paid subscribers"". Readers who are on a free trial will appear as a new category labeled ""Free trials"" and you'll be able to see the exact number of subscribers who are in that category."
How do I add a video to a Substack post?,"At this time, native video is in limited private beta and will be coming soon to all publications.

Getting Started
Head to your Posts page and click on ""New Video"".

Here, you'll be able to add a video or record a video using your computer or mobile device's camera."
"Upload a video into a post","1. Click on ""Upload video file"" and select the video you'd like to add from your computer.

Tip: The video types accepted are 3GP, AAC, AVI, FLV, MP4, MOV, MPEG-2 and the maximum size is 20 GB.

2. The upload will automatically begin and will appear at the top of your post once it's finished processing.

3. Once you've finished your draft and are ready to publish, the video post can be sent to everyone, paid subscribers, or free subscribers– just like a normal post."
"Record a video in a post","1. Select ""Record video"" and your webcam will appear on the page.

2. Click on the red circle to start recording and click on the red circle again to stop recording.

3. Your video recording will automatically begin uploading and will appear at the top of the post.

For mobile devices
To upload a video: Tap ""Upload video"" and select the video file from the options in the menu.

To record a video: Tap ""Upload video"" and select ""Take Video"". Your camera will open and once you finish recording, the video will appear on your draft post. "
Can I change the thumbnail image?,"Once your video has been uploaded into the post, click on the three dots on the top right corner of the video and select ""Choose Thumbnail"". You'll be able to select a still from the video to be the thumbnail image."
I have paid posts– can I show a free preview or teaser of a video?,"Yes! Similar to free previews of paid posts, you can show a snippet of a video in your post. Click on the three dots like the image above and select ""Edit Free Preview"".

Choose which part of the video you'd like to be as the free preview clip and publish the video post for only paid subscribers. When free subscribers and readers see your paid post, they'll be able to watch the clip but be prompted to subscribe to watch the full video."
Where can I see how many times my video has been played?,"On your Posts page, expand the video post to see detailed statistics. We'll show your video play count, hours watched, details about new subscriptions, and how many times your post has been shared."
How does a video look in an email to my readers?,"If you send the post as an email to your readers, a thumbnail image of the video will appear in the email. Just like clicking the title of your post in an email, clicking the thumbnail will direct readers to the web version of your post. "
How long does it take for a video to process?,"Processing times depend on the file size and you'll see an ETA in minutes while the video is being uploaded. While this happens, you can write a draft using the post editor. To cancel the upload, click on the X next to the status bar."
I'm seeing an error message about my camera and microphone and can't record a video. What can I do?,"It's possible that you've blocked your internet browser from accessing your computer's camera and microphone. To grant permission, head to System Preferences and open Security & Privacy. 

Under Camera and Microphone, select your internet browser like Google Chrome and you'll then be able to record a video using your computer's webcam."
"How can I edit images on a Substack post?","With the Substack post editor, there's a variety of things you can do with an image that's been added to a post."
Need to change the size of an image?,"Once you add an image, click on the diagonal arrows at the bottom right corner of the image. This will size the image making it larger or smaller– whatever your preference.

To make your image full width, click on on the three dots in the top right corner and select ""Toggle full width""."
Need to add alt text to an image?,"Click on the three dots in the top right corner of the image and select ""Edit alt text"".

Enter your text and click ""OK""."
Need to add a caption to an image?,"Click on the three dots in the top right corner of the image and select ""Edit caption"".

The caption will appear at the bottom of the image for you to edit."
Need to add a link to an image?,"Once you add an image and see a blue border around it, click on the Link icon in the toolbar or use the hot-key combo (command+K on Apple devices).

Enter the URL in the pop-up box and select ""Link""."
"How can I attach a file to my Substack post?","With file embeds, you can now share a document such as a PDF, comic file, or Excel spreadsheet with your readers.

How do I get started?
1. In the post editor, drag and drop these types of files directly into your draft post:

CBZ/CBR
PDF
XLSX

2. The embed will display the title, format, and size of the file.

3. Click on the hamburger icon where you'll be able to edit, replace, download, or delete the file.

4. Select ""Edit"" and you'll have the options to change the title of the file, add a description, or upload a thumbnail image to the file.

Note: Thumbnail images will be cropped to a 3:2 aspect ratio.

5. When you're ready to send your post as an email or have it appear on your website publication, click ""Publish""."
"What does the file look like for my readers?","For comic files

For CBZ/CBR files, we've partnered with Panels, an IOS comic reader app, to provide a higher-quality reading experience for comics.

When readers click on ""Read now"" in the post, they'll have the options to open the file in Panels or download the file.

Tip: Panels is free for readers– if readers don't have the app already installed, they'll be prompted to download the app for their iPhone or iPad devices.

For PDFs

The embed appears like a file attachment that readers can download. A scrollable full-screen preview within the Substack post is not available at this time.

Note: The file size limit for a PDF is 700 MB.

For spreadsheets

Readers will see a ""Download"" button within the post and can directly save the file to their device and open it with their preferred program such as Microsoft Excel or Google Sheets."
"How do I publish a free preview of a paid post on Substack?","On Substack, you can publish a free preview of a paid post for your free readers. This feature is flexible meaning that the placement of the paywall within the post is 100% up to you.

How do I get started?
1. Within the post editor, you can add a paywall directly from the tool bar:

2. Once the paywall is automatically embedded in your post, you can drag and move it between paragraphs.

3. To send a free preview of the paid post as an email to your free subscribers, make sure to do the following on the Publish page:

Post is set to ""Paid subscribers only"" or ""Founding members only"". 
In the Delivery section, check the box next to ""Send via email and Substack app inbox"". 

In the section that says ""Send a free preview to..."" check the box next to ""Free subscribers"". This section will not appear on the page unless you've selected to send via email and the Substack app inbox.

Note: If you switch the post from paid subscribers to ""Everyone"" or ""Free subscribers only"", the paywall will be removed."
Can I customize the paywall?,"Yes! You can customize the header for free preview emails. 

1. On the post editor, click on ""Edit email header and footer"".

2. Click on ""Edit"" in the headers for free previews posts section.

Note: Customization is limited to only free preview email headers and won't appear on the web post."
"What does the paywall look for free readers?","Free readers can view a preview of a paid post in their email, on the Substack app, or on the web version of the post.

Emails will have an Upgrade button, your customized free preview header (if you've set that up), and a list of subscription benefits.

Web posts will display ""This post is for paid subscribers"" and a Subscribe button.

Tip: To see what the paywall looks like via email, click on the Preview button which can be found on the post editor page and enter your email address in the ""Send test email"" section or use the Preview tool."
"Can I create and save a template that I can reuse?","At this time, we don't offer templates that you can save and load on new posts– sorry about that.

We recommend saving a draft of an existing format that you'd like to reuse on future posts and then copy/paste that draft into a new post."
"How can I add a guest author to a post?","Have an author you've been collaborating with and now you're ready to spotlight their writing with your subscribers? The guest post tool lets you feature a guest writer by easily creating their own byline and also prompts readers to subscribe to their Substack.

Here's how to get started:
1. From your Writer Dashboard, select ""New Post"".

2. In the byline section, select the plus sign.

Tip: To have bylines appear, check that you have ""Show bylines on posts"" enabled which can be found in your Settings.

3. When prompted, enter the email address of the guest writer you'd like to invite to preview the draft post.

4. The guest writer will get an email invitation to join your upcoming post. 

If they haven't accepted your invitation: their email address will appear as ""pending"" in the byline.
If they have accepted your invitation: their name will appear in the byline and you'll also receive a confirmation email.

5. When a guest writer accepts your invitation, they'll have the opportunity to set up a profile and create their own Substack publication (if they don't already have one).

6. After clicking ""Update profile & view draft"", the guest writer can preview your draft post.

Note: Guest writers can preview a draft post but will be unable to make any edits as you'll be posting on their behalf. If you'd like the guest writer to be able to directly edit the draft post, you can add them as a contributor to your publication."
"How do I restore a post draft?","Have you written a post but need to step away and publish at a later time?

As you write and edit your posts, the Substack post editor automatically saves your drafts.

The draft history feature shows your version history of a post and also lets you revert your draft to a previously saved version."
"How do I restore a draft?","1. Click on a draft and select Version History at the bottom of the page.

2. Here, you'll see versions of your post including your current version i.e. working draft which is labeled as ""Latest"".

3. Select a version from your history you'd like to restore and select Restore draft.

Screen_Shot_2021-12-17_at_12.21.33_PM.png

4. This version will now become your new working draft.

Note: Restoring a draft never directly affects a published version, unless you click the Publish button after restoring."
How do I add links to my Substack homepage?,"On your publication's homepage, you can use links as a blogroll, to direct readers to other places to find you on the web, or to highlight popular posts, among other uses. 

To add a link to your Substack's homepage, go to your publication's Settings page and click on ""Edit"" next to Homepage links.

You can title and add any link you wish, including your own Substack or other publications you own. 

When assigning a group, think of this as a category or genre by which to organize your homepage links. 

Tip: You can edit your homepage links section by deleting a link and adding another."
"How do I edit my post's URL?","While on a draft post, select Settings.
Next to ""Post URL,"" click ""edit"" and type in your desired URL.
Click ""Save."""
"Can I add multiple contributors to a byline?","On a post, you can have multiple writers sharing the byline. You can either add a collaborator or have a guest writer on your post.

Ensure that two things happen before adding a collaborator to a byline:

Bylines and images on bylines on posts are enabled on your publication's Settings page.
Collaborators have set up their Substack profile."
"How do I add a collaborator?
","To add a collaborator, head to your publication's Settings page and in the Team section, click ""Invite"". This will send an email invitation to the collaborator and in this section be automatically set to ""Private"" and ""Byline"".

The invited collaborator will be listed as an author in a byline, but they cannot access your posts or settings.

Tip: If you'd like their profile to be shown on your publications' People page, change the setting from ""Private"" to ""Public"".

When you draft a new post, add a title and then a ""+"" sign will appear. Select the collaborator you'd like to add to the byline. "
Can an invited collaborator access and edit the draft post?,"If the invited collaborator is assigned the role of ""byline"", they will be listed as an author but do not have access to your posts.

To be able to access and edit a draft post, you'll need to change and assign them the role of ""contributor"". Learn more here on how to change the roles on your publication's Team."
"How do I publish a new post?","Ready to write a post and share it with your Substack readers?

1. Head to your Dashboard and click on New Post.

2. Start writing using our Substack editor.

3. When you're ready, select Publish and you'll have the option to choose:

The intended audience (everyone, paid subscribers, free subscribers, or founding members)
Who can comment on your post
Add a free preview for a paid post
If you'd like to send the post via email and Substack app inbox
A future date and time to publish your post"
How do I save a draft?,"Post are automatically saved as drafts. Click on Version History to see drafts of your post.

If you return to your Dashboard, you can view all your un-published posts in the Drafts section on the right panel.

Tip: Have a draft you'd like to share? On the Substack editor, click on Settings next to Publish where you'll find a secret draft link which you can copy and share."
How do I only publish a post to my publication?,"Your posts are set to publish to the web and be sent via email by default. If you'd like to only publish a post to your publication, uncheck the box next to ""Send via email and Substack app inbox"" after clicking on Publish."
Can I resend an edited post to my subscribers?,"Once a post is emailed, it can't be resent- sorry about that! Any edits you make to a published post will only appear on the web version of the post. "
"How do I start a discussion thread?","To start a discussion thread, first check on your Settings page that community features have been enabled.


1. On your Posts page, select New thread.


2. Enter a title and text and select Publish.


3. After clicking Publish, you'll have the option to select your audience, send it via an email and the Substack app inbox, and schedule a time to email and publish the post. 

4. Threads will appear with a chat icon next to the title of the thread post."
"How do I schedule a post for a future date?","1. After drafting your new post, click ""Publish"". You will be given a set of options before publishing, including the ability to schedule a post. 

2. Check the box next to ""Schedule time to publish"" and select a time and date.

3. If your post audience is selected for paying subscribers only, you can schedule a time to unlock the post and email free subscribers."
"How do I embed media in my post (e.g. images, video, GIFs)?","Here's our tips on how to use the Substack editor to add media to your posts.

How to add images
Drag and drop them into your draft post, or upload a new file by clicking on the Image icon:

Tip: Undecided on what image to use on your post? Click ""Search for an image"" and you'll be able search and insert free photos from Unsplash directly from the Substack editor.

How to add a GIF
Drag and drop them into your draft post, or upload a new file by clicking on the icon above, just as you would any other image.

How to embed rich media 
Copy-and-paste the URL directly into the draft post and the embeds will automatically appear. 

Embedding TikToks: videos will play within a web post on Chrome and in the Substack app. On Safari, videos will open in a new tab. Email posts contain a static image that link to the TikTok.

Embedding Spotify: songs or podcasts will play within a web post and on the Substack app. Email posts contain a static image that will open the song or podcast episode on the Spotify app.

Embedding Youtube: videos will play within a web post and in the Substack app. Email posts contain a static image that link to Youtube video (readers can choose whether to open the video on the Youtube app or youtube.com on their browser).
 
How to add a banner image
Above your post title, select, ""Edit email header and footer"". You can upload a banner image in this section:

Note: Image must be in PNG format."
"How to add an NFT","Currently, OpenSea is the only supported platform and links to NFTS will display as rich embeds in a Substack post.

Here are two ways to embed an NFT:

Copy and paste an OpenSea link directly into your post and it'll automatically convert it to an embed. An image of the the NFT will appear as well as other details such as the name, creator, and a button to view the NFT directly on OpenSea.

Hyperlink the NFT in your post by clicking on the ""Link"" icon and adding custom text and the OpenSea URL.

Note: You can embed a video, GIF, image, and music NFTs in your post."
"How do I enable or disable comments on my posts?","Start by enabling comments for your publication:

Navigate to your Settings and head to the Community section.
Click ""Enable community features"". 

After enabling comments:

Choose whether to allow comments on a per-post basis. From the post editor, click Settings.

Everyone- Any reader will be able to leave a comment on the post. If they do not have a Substack profile, they'll be prompted to create one.
Paid subscribers only- Only paid subscribers to your publication can leave a comment on the post.
No one- Comments will be disabled for the post.
Tip: If you'd like to lock your post to prevent readers from leaving new comments, head back to your post settings and select ""Allow comments from no one (disable comments)."""
"How do I enable or disable likes on my posts?","1. Navigate to your publication's Settings tab.

2. Scroll down to the Community section and click ""Enable community features"".

3. With community features enabled, you'll be able to see the number of likes and click to see a list of readers who liked that post.

4. If you'd like to make likes more visible to readers, check the box next to ""Show reader profile for likes"" in the same Community section.

With this enabled, readers who like a post will have their profile pictures displayed next to the likes count.

Note: Only readers who have enabled likes to be visible on their Substack profile will appear on the Likes list. Readers who have this disabled won't appear on the list but will count towards the likes."
"Where can I see who liked my post?","You can see who liked your post in several places.

At the bottom of the post

Click on the number of likes and see the list of reader profiles who hearted your post. Just note that some profiles may not be visible if they have disabled likes from being visible on their Substack profile.

Email notifications

Head to your Settings tab and scroll to the Notifications section. Check the box next to ""Post like email notifications"" and you'll receive an email every time a subscribers likes your post. With this setting on, you'll also be able to view likes in your Activity section on your Substack account."
